date,market_sentiment_index
2025-02-12,0.5677231290956825
2025-02-19,0.621497540778154
2025-02-26,0.5567426924823181
2025-03-05,0.5226856264445328
2025-03-12,0.4764556382238852
2025-03-19,0.5193529071184928
2025-03-26,0.5539858509766004
2025-04-02,0.5589034185861506
2025-04-09,0.5271721474543883
2025-04-16,0.5054517624226114
2025-04-23,0.4955617395510175
2025-04-30,0.5640222286583315
2025-05-07,0.5941822996820054
2025-05-14,0.6343759790817076
2025-05-21,0.6019445043559216
2025-05-28,0.5985388291292993
2025-06-04,0.5690083898436112
2025-06-11,0.5516417225817711
2025-06-18,0.5415764403771138
2025-06-25,0.4954291493462946
2025-07-02,0.5305322133964893
2025-07-09,0.5507057929695537
2025-07-16,0.6112909371445353
2025-07-23,0.6549150917059964
2025-07-30,0.691756179205155
2025-08-06,0.7145931419415871
